Class,ALT,L8 NDWI med,L8 NIR mean,L8 Temp max,L8 Temp mean,L8 Temp min,TPI,Elevation,Slope
Shallow,0.0425,0.321512954,0.327492415,304.6087785,280.3399675,240.3807647,-9.659851,369.66974,1.640973
Shallow,0.0425,0.285976541,0.411030357,286.6129032,286.6129032,286.6129032,3.1030273,216.0399,32.868607
Shallow,0.042502,0.127498348,0.370285397,302.7288675,280.8239709,234.9392769,-0.2543335,426.39508,1.3671802
Shallow,0.0425333,0.279163654,0.384227398,301.7000435,279.3505175,156.7520694,-0.5683441,129.19145,1.9000962
Shallow,0.0425454,0.254651751,0.23436819,305.200096,285.772306,229.3542322,-1.2647095,183.57916,0.5959001
Shallow,0.042549,0.112075595,0.285694846,302.2776889,283.5679207,153.6621793,-0.9822235,137.36354,1.0308552
Shallow,0.0425625,0.260855903,0.302145833,304.6327047,288.2179226,257.5016269,-0.61868286,142.3569,1.7726965
Shallow,0.0425862,0.247346229,0.314178824,304.8172777,287.6738968,227.1974616,0.27078247,141.77325,0.16020095
Shallow,0.0426,0.267768755,0.337970368,301.2215207,278.3947768,150.0014799,1.7450867,141.37958,23.175737
Shallow,0.0426,0.242856679,0.413539375,303.4466517,272.3707907,192.914721,1.3022156,427,19.487234
Shallow,0.0426087,0.277375291,0.409998452,294.9155579,272.1871338,245.8407135,11.086792,218.6891,26.528908
Shallow,0.0426316,0.286546347,0.306023269,302.5101142,282.393489,174.7821249,3.4389648,139.8384,1.5571748
Shallow,0.0426415,0.197390093,0.394768036,298.2991136,271.3615352,233.3669877,16.511505,210.2821,20.477468
Shallow,0.0426531,0.173407595,0.294597041,301.1634144,280.6409247,150.0014799,-0.097076416,129.9982,3.4980018
Shallow,0.0426562,0.287258114,0.377476429,302.0384275,279.8173214,152.5000525,-0.7846832,130.03067,2.2403266
Shallow,0.0426786,0.164780652,0.262621077,300.6028591,283.3299213,162.1149427,-1.1169281,137.12192,1.322023
Shallow,0.0426957,0.204910237,0.316930441,302.9305307,280.9241116,167.2453908,1.2921448,134.35706,4.101153
Shallow,0.0426984,0.023436919,0.332396508,305.9212982,283.7546247,236.7781716,-5.5021667,423.35822,2.3760333
Shallow,0.0426984,0.269902874,0.494162639,296.8379822,272.8529053,235.7576904,5.103653,149.98509,22.19515
Shallow,0.0427545,0.221007726,0.272594138,307.2269818,283.6935606,251.9268363,12.27742,242.66846,2.9525778
Shallow,0.0427586,0.155001097,0.298283015,300.7908502,280.8385606,171.7640132,2.903534,132.75441,5.058138
Shallow,0.0427586,0.184087618,0.337274013,301.8880346,281.1777117,150.0014799,-3.3117065,128.50644,4.2149253
Shallow,0.0427586,0.108204649,0.314839286,303.5184301,280.8438435,150.0014799,-0.88931274,130.6495,0.13250767
Shallow,0.0427586,0.078288462,0.353157344,300.5515888,276.6899639,233.6575194,-0.9439392,341.73822,0.15590177
Shallow,0.0427586,0.261721339,0.507145,304.0994935,272.9008945,191.7389221,6.625702,442.7189,5.5268607
